fips,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
02637,224,0,0,0,164,60,0,0,0,0,0
02638,3189,0,0,0,1908,1272,9,0,0,0,0
02639,3709,0,0,0,124,3583,2,0,0,0,0
02641,600,0,0,0,7,588,5,0,0,0,0
02642,6469,0,0,0,57,6398,14,0,0,0,0
02643,53,0,0,0,0,43,10,0,0,0,0
02644,1725,0,0,0,689,1033,3,0,0,0,0
02645,7608,0,0,0,670,6921,17,0,0,0,0
02646,2467,0,0,0,126,2326,15,0,0,0,0
02647,237,0,0,0,110,127,0,0,0,0,0
02648,3574,0,0,0,2789,785,0,0,0,0,0
02649,9527,0,0,0,7080,2444,3,0,0,0,0
02650,843,0,0,0,26,817,0,0,0,0,0
02652,1620,0,0,0,2,1394,223,1,0,0,0
02653,5409,0,0,0,82,5287,40,0,0,0,0
02655,3041,0,0,0,2444,597,0,0,0,0,0
02657,2370,0,0,0,2,1134,1234,0,0,0,0
02659,1383,0,0,0,39,1342,2,0,0,0,0
02660,5080,0,0,0,365,4691,24,0,0,0,0
02663,688,0,0,0,16,669,3,0,0,0,0
02664,6485,0,0,0,1614,4865,6,0,0,0,0
02666,1742,0,0,0,17,1529,194,2,0,0,0
02667,4325,0,0,0,71,4222,32,0,0,0,0
02668,2133,0,0,0,1423,702,8,0,0,0,0
02670,2305,0,0,0,154,2151,0,0,0,0,0
02671,1334,0,0,0,89,1245,0,0,0,0,0
02672,344,0,0,0,225,119,0,0,0,0,0
02673,5851,0,0,0,3288,2561,2,0,0,0,0
02675,3681,0,0,0,2373,1308,0,0,0,0,0
